Job_Title,Job_Category,Skill,Job_Count
"Sr Expert Data Science, Advanced Visual Analytics (Associate level)",Data Scientist,tableau,1
"Sr Expert Data Science, Advanced Visual Analytics (Associate level)",Data Scientist,sas,1
Data Science Engineer - Mobile,Data Scientist,Python,1
Data Science Engineer - Mobile,Data Scientist,excel,1
Data Science Engineer - Mobile,Data Scientist,SQL,1
Data Science Engineer - Mobile,Data Scientist,hadoop,1
Data Science Engineer - Mobile,Data Scientist,tableau,1
Data Science Engineer - Mobile,Data Scientist,Business_Intelligence,1
"Sr Expert Data Science, Advanced Visual Analytics (Associate level)",Data Scientist,Python,1
"Sr Expert Data Science, Advanced Visual Analytics (Associate level)",Data Scientist,SQL,1
"Data Scientist, Senior",Data Scientist,mongo,1
Data Analytics Manager,Data Scientist,excel,1
Data Analytics Manager,Data Scientist,SQL,1
Data Analytics Manager,Data Scientist,tableau,1
Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,Data Scientist,Python,1
Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,Data Scientist,spark,1
Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,Data Scientist,SQL,1
Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,Data Scientist,hadoop,1
Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,Data Scientist,tableau,1
Senior Data Scientist,Data Scientist,keras,1
Data Scientist/ML Engineer,Data Scientist,Python,1
Data Scientist/ML Engineer,Data Scientist,spark,1
Data Analytics Manager,Data Scientist,aws,1
Data Analytics Manager,Data Scientist,Python,1
Data Scientist II,Data Scientist,tableau,1
Data Scientist II,Data Scientist,sas,1
Insurance Data Scientist,Data Scientist,Python,1
Insurance Data Scientist,Data Scientist,spark,1
Insurance Data Scientist,Data Scientist,SQL,1
Insurance Data Scientist,Data Scientist,sas,1
"Data Scientist, Rice University",Data Scientist,Python,1
Data Scientist/ML Engineer,Data Scientist,excel,1
"Data Scientist, Rice University",Data Scientist,SQL,1
Data Scientist II,Data Scientist,Python,1
Data Scientist II,Data Scientist,spark,1
Data Scientist II,Data Scientist,SQL,1
"Data Scientist, Rice University",Data Scientist,tensor,1
Data Scientist/ML Engineer,Data Scientist,SQL,1
Data Scientist/ML Engineer,Data Scientist,tableau,1
Senior Spark Engineer (Data Science),Data Scientist,Python,1
Senior Spark Engineer (Data Science),Data Scientist,spark,1
Senior Spark Engineer (Data Science),Data Scientist,aws,1
Senior Spark Engineer (Data Science),Data Scientist,SQL,1
Senior Spark Engineer (Data Science),Data Scientist,mongo,1
BI & Platform Analytics Manager,Data Scientist,Python,1
BI & Platform Analytics Manager,Data Scientist,excel,1
BI & Platform Analytics Manager,Data Scientist,tableau,1
BI & Platform Analytics Manager,Data Scientist,Business_Intelligence,1
Lead Data Scientist,Data Scientist,spark,1
Lead Data Scientist,Data Scientist,aws,1
Lead Data Scientist,Data Scientist,Business_Intelligence,1
